Customer_ID,Customer_Name,Segment,City,State,Country,Postal_Code,Market,Region,Ingestion_Date
GM-4500,Gene McClure,Consumer,Baghdad,Baghdad,Iraq,0,EMEA,EMEA,2025-07-06
PC-9000,Pauline Chand,Home Office,Cairo,Al Qahirah,Egypt,0,Africa,Africa,2025-07-06
MY-18295,Muhammed Yedwab,Corporate,Xichang,Sichuan,China,0,APAC,North Asia,2025-07-06
RB-19570,Rob Beeghly,Consumer,Montargis,Centre,France,0,EU,Central,2025-07-06
HD-14785,Harold Dahlen,Home Office,Lima,Lima (city),Peru,0,LATAM,South,2025-07-06
CM-12235,Chris McAfee,Consumer,Managua,Managua,Nicaragua,0,LATAM,Central,2025-07-06
RD-19660,Robert Dilbeck,Home Office,Chinandega,Chinandega,Nicaragua,0,LATAM,Central,2025-07-06
AB-105,Adrian Barton,Consumer,Kisangani,Orientale,Democratic Republic of the Congo,0,Africa,Africa,2025-07-06
JC-16105,Julie Creighton,Corporate,Berlin,Berlin,Germany,0,EU,Central,2025-07-06
OT-8730,Olvera Toch,Consumer,Craiova,Dolj,Romania,0,EMEA,EMEA,2025-07-06
RD-19585,Rob Dowd,Consumer,Temecula,California,United States,92592,US,West,2025-07-06
YS-21880,Yana Sorensen,Corporate,Seattle,Washington,United States,98103,US,West,2025-07-06
MH-7455,Mark Hamilton,Consumer,Lagos,Lagos,Nigeria,0,Africa,Africa,2025-07-06
KB-16315,Karl Braun,Consumer,Los Angeles,California,United States,90008,US,West,2025-07-06
GH-4425,Gary Hwang,Consumer,Basra,Al Basrah,Iraq,0,EMEA,EMEA,2025-07-06
DW-13195,David Wiener,Corporate,Zihuatanejo,Guerrero,Mexico,0,LATAM,North,2025-07-06
NC-8340,Nat Carroll,Consumer,Kinshasa,Kinshasa,Democratic Republic of the Congo,0,Africa,Africa,2025-07-06
PT-9090,Pete Takahito,Consumer,Istanbul,Istanbul,Turkey,0,EMEA,EMEA,2025-07-06
KH-16630,Ken Heidel,Corporate,Yangon,Yangon,Myanmar (Burma),0,APAC,Southeast Asia,2025-07-06
DB-13270,Deborah Brumfield,Home Office,Aschaffenburg,Bavaria,Germany,0,EU,Central,2025-07-06
KM-6660,Khloe Miller,Consumer,Malatya,Malatya,Turkey,0,EMEA,EMEA,2025-07-06
KH-6630,Ken Heidel,Corporate,Jerusalem,Jerusalem,Israel,0,EMEA,EMEA,2025-07-06
LD-7005,Lisa DeCherney,Consumer,Rasht,Gilan,Iran,0,EMEA,EMEA,2025-07-06
BW-11110,Bart Watters,Corporate,Jakarta,Jakarta,Indonesia,0,APAC,Southeast Asia,2025-07-06
DK-3090,Dave Kipp,Consumer,Cairo,Al Qahirah,Egypt,0,Africa,Africa,2025-07-06
PF-19120,Peter Fuller,Consumer,Gilbert,Arizona,United States,85234,US,West,2025-07-06
LW-7125,Liz Willingham,Consumer,East London,Eastern Cape,South Africa,0,Africa,Africa,2025-07-06
FW-4395,Fred Wasserman,Corporate,Baghdad,Baghdad,Iraq,0,EMEA,EMEA,2025-07-06
MM-18055,Michelle Moray,Consumer,Rochdale,England,United Kingdom,0,EU,North,2025-07-06
TD-20995,Tamara Dahlen,Consumer,Portland,Oregon,United States,97206,US,West,2025-07-06
KW-6435,Katrina Willman,Consumer,Chitungwiza,Harare,Zimbabwe,0,Africa,Africa,2025-07-06
JM-6195,Justin MacKendrick,Consumer,Istanbul,Istanbul,Turkey,0,EMEA,EMEA,2025-07-06
MC-8100,Mick Crebagga,Consumer,Khorramabad,Lorestan,Iran,0,EMEA,EMEA,2025-07-06
GT-4755,Guy Thornton,Consumer,Montr�al,Quebec,Canada,0,Canada,Canada,2025-07-06
JH-15910,Jonathan Howell,Consumer,Puebla,Puebla,Mexico,0,LATAM,North,2025-07-06
CB-2535,Claudia Bergmann,Corporate,Benin City,Edo,Nigeria,0,Africa,Africa,2025-07-06
JK-15325,Jason Klamczynski,Corporate,Suzhou,Anhui,China,0,APAC,North Asia,2025-07-06
FO-14305,Frank Olsen,Consumer,Noisy-le-Grand,Ile-de-France,France,0,EU,Central,2025-07-06
SV-20365,Seth Vernon,Consumer,San Pedro Sula,Cort�s,Honduras,0,LATAM,Central,2025-07-06
EB-14110,Eugene Barchas,Consumer,Columbus,Ohio,United States,43229,US,East,2025-07-06
SC-20845,Sung Chung,Consumer,Valence,Rh�ne-Alpes,France,0,EU,Central,2025-07-06
SW-10275,Scott Williamson,Consumer,Vilnius,Vilnius,Lithuania,0,EMEA,EMEA,2025-07-06
JH-5985,Joseph Holt,Consumer,Namangan,Namangan,Uzbekistan,0,EMEA,EMEA,2025-07-06
CJ-12010,Caroline Jumper,Consumer,Issoire,Auvergne,France,0,EU,Central,2025-07-06
